,253950,39230,-2671
50466921,254115,39039,-2658
50467623,253924,39054,-2501
50468326,253913,39154,-2608
50469028,253943,39146,-2711
50469730,254014,39207,-2802
50470432,253985,39128,-2771
50471134,253880,39285,-2454
50471836,253737,39314,-2445
50472537,253971,39087,-2319
50473239,254108,39062,-2594
50473941,254089,39007,-2542
50474642,254065,39203,-2230
50475345,253881,39301,-2703
50476048,253865,39237,-2473
50476749,253953,39105,-2635
50477452,253969,39028,-2508
50478155,253994,39101,-2554
50478856,253869,39095,-2583
50479557,253953,38949,-2841
50480260,254005,39015,-2456
50480961,253960,39101,-2617
50481663,253938,39240,-2600
50482366,253685,39162,-2736
50483068,254077,39263,-2499
50483770,253911,39147,-2274
50484473,253737,38997,-2592
50485175,254149,39014,-2488
50485877,253998,39087,-2248
50486578,254104,39024,-2520
50487280,254023,39004,-2214
50487982,253967,38955,-2191
50488683,254191,39116,-2762
50489386,253990,39159,-2561
50490089,253958,39177,-2446
50490790,253963,39179,-2492
50491493,253950,39140,-2415
50492196,253739,39041,-2496
50492897,254040,39009,-2523
50493599,253821,39142,-2427
50494302,253789,38864,-2520
50495004,253786,39223,-2799
50495706,253824,39176,-2748
50496409,253982,39261,-2690
50497111,253881,39002,-2741
50497812,254089,38993,-2712
50498514,254009,39222,-2357
50499216,254017,38993,-2641
50499917,253803,39251,-2655
50500619,253908,39481,-2770
50501321,253937,38958,-2431
50502023,254043,38923,-2802
50502725,254015,38948,-2629
50503427,253996,39246,-2545
50504129,254040,39263,-2565
50504831,254056,39025,-2724
50505533,253839,39117,-2513
50506235,253904,39164,-2567
50506937,253726,39196,-2400
50507639,254088,39101,-2550
50508341,253962,39207,-2625
50509044,254081,39133,-2579
50509746,253923,39184,-2478
50510448,254064,39114,-2230
50511150,253896,39126,-2941
50511852,253868,39180,-2496
50512553,254087,39119,-2606
50513255,253908,39320,-2397
50513957,253970,39136,-2632
50514658,253986,38936,-2664
50515360,254238,39044,-2413
50516063,254063,39037,-2431
50516765,253925,39008,-2634
50517467,254008,39130,-2622
50518170,253917,39105,-2527
50518872,253841,38981,-2479
50519573,253865,38912,-2486
50520276,253947,39110,-2509
50520978,254011,39087,-2434
50521679,254110,39065,-2495
50522381,253792,38991,-2619
50523084,253999,39164,-2618
50523786,253785,39240,-2591
50524488,254272,39065,-2693
50525191,253967,39074,-2857
50525893,253968,39019,-2276
50526594,254107,39063,-2691
50527297,254167,39085,-2355
50527999,254011,39077,-2612
50528700,253919,39065,-2703
50529403,253856,39079,-2222
50530106,254169,39036,-2564
50530807,254005,39035,-2571
50531509,254012,39005,-2474
50532212,253954,39031,-2712
50532913,253771,39124,-2597
50533614,254070,39338,-2619
50534317,254024,39378,-2653
50535020,253868,39386,-3159
50535721,253927,39197,-2641
50536423,253899,39158,-2393
50537126,253966,39090,-2668
50537827,254239,38977,-2910
50538528,254140,39019,-2442
50539231,253872,39018,-2729
50539932,254084,39305,-2698
50540633,253965,39110,-2545
50541336,253935,39092,-2764
50542039,253930,39407,-2636
50542740,253782,39344,-2301
50543443,253779,39171,-2320
50544146,253741,39050,-2285
50544847,254054,39250,-2432
50545548,253966,39117,-2300
50546251,254112,39110,-2502
50546952,254125,39149,-2623
50547653,253987,39183,-2473
50548356,254139,39223,-2373
50549059,254040,39079,-2564
50549760,253718,39002,-2661
50550463,253988,38992,-2569
50551166,253909,39163,-2434
50551867,254009,38959,-2694
50552568,254188,39112,-2670
50553271,254036,38955,-2764
50553972,253947,39128,-2456
50554673,254027,39328,-2685
50555376,253851,39234,-2866
50556078,254096,39179,-2742
50556779,253886,39222,-2648
50557482,253955,39184,-2581
50558185,253983,39192,-2817
50558886,253947,39153,-2413
50559587,253855,38964,-2808
50560290,253835,39319,-2738
50560991,254045,39220,-2825
50561692,253796,39142,-2628
50562395,254098,39458,-2776
50563097,253806,39256,-2472
50563798,254124,39217,-2684
50564501,254021,39157,-2375
50565203,253931,39254,-2412
50565904,253861,39152,-2534
50566606,253878,39226,-2532
50567309,253869,39277,-2863
50568011,253900,39261,-2483
50568712,253734,39187,-2826
50569415,254077,39150,-2609
50570117,254098,39058,-2257
50570818,253940,39167,-2505
50571520,253979,39083,-2600
50572222,254126,39211,-2338
50572923,254216,39384,-2428
50573625,254187,39072,-2638
50574327,253918,38998,-2636
50575029,253994,39077,-2747
50575731,253844,39044,-2547
50576434,253831,39146,-2663
50577136,254015,39170,-2360
50577838,254021,39196,-2406
50578540,254039,39140,-2447
50579242,254016,39195,-2751
50579943,254205,38901,-2376
50580645,254093,39013,-2415
50581347,254075,39021,-2557
50582049,254170,39125,-2650
50582751,254028,39016,-2670
50583453,253802,39175,-2870
50584155,253897,38962,-2699
50584857,253837,39276,-2553
50585558,253798,39012,-2483
50586260,254108,39174,-2754
50586962,254039,39291,-2394
50587663,254098,39114,-2394
50588365,254192,39251,-2460
50589068,254001,39159,-2429
50589770,254133,39133,-2621
50590472,253880,39105,-2033
50591175,253954,39080,-2675
50591877,253906,39117,-2457
50592578,253981,39224,-2357
50593281,254116,39186,-2575
50593983,254015,39091,-2839
50594684,254108,39120,-2833
50595386,254125,39087,-2586
50596089,253951,39209,-2403
50596791,254020,39164,-2605
50597493,253877,39124,-2638
50598196,253912,39055,-2330
50598898,254010,39259,-2481
50599599,253882,39127,-2445
50600302,254038,39144,-2751
50601005,253981,39096,-2625
50601706,253738,38810,-2593
50602408,254004,38708,-2740
50603111,253988,39153,-2752
50603812,253866,39130,-2537
50604513,253720,39229,-2541
50605216,253844,39069,-2463
50605917,254160,39003,-2685
50606618,253963,39193,-2527
50607321,253908,39057,-2520
50608024,254195,38983,-2443
50608725,254026,39234,-2536
50609428,254016,39058,-2628
50610131,254102,39074,-2509
50610832,254105,39300,-2692
50611533,254059,39038,-2554
50612236,253980,39167,-2378
50612937,254182,39051,-2599
50613638,254077,39043,-2581
50614341,254044,39344,-2667
50615044,253865,39062,-2596
50615745,253849,39109,-2444
50616448,253740,39173,-2387
50617151,253895,39114,-2638
50617852,254098,39177,-2597
50618553,254109,39333,-2673
50619256,254047,39176,-2571
50619957,253992,39264,-2523
50620658,253861,39138,-2608
50621361,253819,39213,-2595
50622064,253908,39254,-2567
50622765,253884,39103,-2631
50623468,253851,38899,-2752
50624171,253960,38976,-2799
50624872,253917,39045,-2583
50625573,253935,39166,-2713
50626276,253893,39180,-2250
50626977,254054,39063,-2628
50627678,254031,39281,-2610
50628380,253863,38998,-2698
50629083,253917,39123,-2619
50629784,253918,39232,-2639
50630486,254225,38981,-2344
50631189,253900,39023,-2663
50631891,253951,39100,-2605
50632592,254077,39261,-2500
50633295,253934,39060,-2589
50633997,253877,39101,-2695
50634698,254015,39290,-2666
50635401,253932,39170,-2443
50636104,254013,39130,-2438
50636805,254124,39169,-2619
50637507,253846,39094,-2533
50638210,253838,39143,-2678
50638911,253918,39067,-2648
50639612,253881,39141,-2441
50640315,254019,39134,-2641
50641018,253953,39243,-2248
50641719,254039,39164,-2351
50642422,254111,38972,-2488
50643125,253935,39093,-2453
50643826,253897,39052,-2438
50644527,253771,39059,-2541
50645230,254191,38969,-2335
50645931,253873,39321,-2420
50646632,254072,39079,-3086
50647335,253944,39006,-2945
50648038,254027,39026,-2776
50648739,254039,39046,-2673
50649442,253903,38949,-2772
50650145,253859,39245,-2315
50650846,253722,39043,-2357
50651548,254130,39309,-2412
50652251,253931,39238,-2328
50652952,254080,39244,-2427
50653654,254129,39214,-2826
50654357,254027,39132,-2288
50655059,254051,39117,-2601
50655760,253895,39131,-2400
50656463,254045,39089,-2409
50657165,253811,39048,-2554
50657866,253859,39042,-2537
50658568,254070,39267,-2663
50659271,253734,39062,-2784
50659972,253979,38919,-2688
50660674,253996,39153,-2373
50661377,253946,39123,-2283
50662079,254074,39278,-2820
50662781,253810,39452,-2724
50663484,254050,39214,-2565
50664186,253785,39171,-2398
50664887,253853,39436,-2562
50665589,253863,38899,-2558
50666291,253779,39225,-2585
50666992,253864,39159,-2452
50667694,254106,39281,-2591
50668396,254070,39101,-2564
50669098,254252,38981,-2915
50669800,253985,39098,-2590
50670503,254080,39051,-2700
50671205,253701,39051,-2416
50671907,253881,39109,-2277
50672609,253867,39146,-2991
50673311,253917,39306,-2725
50674014,253923,39295,-2430
50674716,253982,39133,-2739
50675418,253797,39189,-2805
50676120,253788,39163,-2738
50676822,254104,39155,-2662
50677523,254041,39317,-2406
50678225,254065,39132,-2109
50678927,253875,39085,-2605
50679628,254022,39110,-2802
50680330,254180,39027,-2755
50681033,254023,39191,-2639
50681734,253866,39213,-2564
50682436,253882,39016,-2850
50683139,253861,39237,-2623
50683841,253807,39085,-2554
50684542,253892,39087,-2594
50685245,254101,39057,-2604
50685947,254066,39079,-2657
50686648,253862,39034,-2377
50687350,254071,38963,-2501
50688053,253839,39070,-2662
50688754,253904,39221,-2438
50689456,254014,39252,-2512
50690159,253835,39209,-2504
50690860,253905,39138,-2631
50691561,254049,39081,-2498
50692264,253708,39341,-2712
50692965,253821,39175,-2586
50693666,253956,39111,-2581
50694369,253851,39024,-2560
50695072,254083,39184,-2323
50695773,254044,39186,-2799
50696476,253993,39472,-2835
50697179,254262,39240,-2661
50697880,254045,39011,-2727
50698581,253929,39129,-2467
50699284,253733,38983,-2175
50699985,253910,39230,-2412
50700686,253958,39195,-2890
50701389,254024,39087,-2763
50702091,254259,39137,-2447
50702792,253656,38999,-2787
50703495,254075,39255,-2637
50704198,253989,39030,-2623
50704899,254014,38945,-2508
50705601,253783,38919,-2739
50706304,253996,39042,-2498
50707006,254195,38932,-2536
50707707,254099,39273,-2652
50708410,253683,39203,-2469
50709112,253687,39188,-2675
50709813,254031,39130,-2520
50710515,254031,38935,-2705
50711218,253706,39043,-2404
50711919,254131,39207,-2377
50712621,253911,39085,-2492
50713324,254090,39134,-2471
50714026,253956,39175,-2495
50714728,253873,39112,-2202
50715431,253912,39092,-2654
50716133,253905,39056,-2418
50716834,253937,38975,-2400
50717536,254153,39029,-2816
50718238,254009,39165,-2802
50718939,253897,39285,-2565
50719641,253813,39315,-2567
50720343,253986,39260,-2438
50721045,253729,39387,-2703
50721747,254131,39463,-2546
50722449,253938,39261,-2807
50723151,254080,39177,-2733
50723853,254046,39171,-2422
50724555,254150,39344,-2491
50725257,253727,39120,-2681
50725958,254016,39264,-2681
50726660,254081,39093,-2468
50727362,254054,38947,-2530
50728064,253956,38919,-2613
50728766,253842,38936,-2666
50729468,254009,39112,-2963
50730170,253950,39255,-2815
50730872,253817,38957,-2450
50731573,253692,39237,-2546
50732275,253770,39078,-2726
50732977,253984,39020,-2340
50733678,254028,39001,-2704
50734380,253791,39164,-2630
50735083,253941,39193,-2792
50735784,253961,38953,-2475
50736486,253818,39210,-2378
50737189,254242,39031,-2575
50737891,253933,38994,-2733
50738592,253811,39164,-2283
50739295,253948,39423,-2424
50739997,254039,39227,-2595
50740698,253978,39141,-2566
50741401,254139,39248,-2366
50742104,253950,38972,-2628
50742805,253964,39165,-2440
50743507,253845,39198,-2704
50744210,253983,39305,-2691
50744911,253783,39188,-2166
50745612,253715,39160,-2617
50746315,253978,39376,-2501
50747018,254122,39025,-2527
50747719,253902,39197,-2590
50748422,253776,39116,-2592
50749125,253970,39101,-2450
50749826,254007,39211,-2630
50750527,253815,38981,-2554
50751230,254079,39094,-2739
50751931,253981,38924,-2532
50752632,253863,39209,-2604
50753335,253968,39108,-2559
50754038,253972,39192,-2479
50754739,254259,39060,-2397
50755442,253950,39092,-2548
50756145,253895,39224,-2438
50756846,253973,39137,-2339
50757548,253789,39093,-2499
50758251,254044,39173,-2511
50758952,253855,38910,-2494
50759654,253959,39231,-2623
50760357,254019,39012,-2294
50761059,253864,39135,-2590
50761760,253868,39141,-2722
50762463,253900,39211,-2651
50763165,253896,39127,-2482
50763866,254025,39131,-2433
50764568,253920,39061,-2531
50765271,254118,39170,-2524
50765972,253989,39308,-2537
50766674,254044,39061,-2658
50767377,254018,39017,-2596
50768079,253982,39277,-2621
50768781,253938,39177,-2270
50769484,254030,38967,-2512
50770186,253924,39006,-2512
50770887,253881,39172,-2409
50771589,253883,39384,-2315
50772291,253989,39106,-2455
50772992,253839,39133,-2644
50773694,254122,39012,-2427
50774396,253994,39018,-2705
50775098,254005,39117,-2381
50775800,254037,39054,-2266
50776503,254076,39178,-2524
50777205,253953,39055,-2512
50777907,254031,39168,-2472
50778609,254089,39045,-2441
50779311,254101,39132,-2163
50780014,253935,39083,-2407
50780716,253977,39078,-2639
50781418,253956,39245,-2361
50782120,253827,39205,-2250
50782822,253942,39025,-2717
50783523,253950,39161,-2821
50784225,254126,39238,-2516
50784927,253821,39060,-2556
50785628,253946,38913,-2601
50786330,254080,39149,-2645
50787033,253972,38948,-2717
50787734,254011,39248,-2641
50788436,253838,39058,-2564
50789139,254080,39126,-2708
50789841,253972,39243,-2785
50790542,254063,39258,-2582
50791245,253904,39205,-2886
50791947,253764,39375,-2576
50792648,253803,38939,-2726
50793350,254091,39073,-2228
50794053,253802,39294,-2550
50794754,254111,39258,-2423
50795456,253901,39083,-2515
50796159,254138,39150,-2653
50796860,253982,39203,-2710
50797561,254129,39294,-2599
50798264,253897,39097,-2416
50798965,253996,39077,-2750
50799666,253876,39053,-2396
50800369,254004,39058,-2541
50801072,254044,39002,-2347
50801773,254103,38931,-2599
50802476,254036,39285,-2562
50803179,254126,39188,-2374
50803880,254070,38976,-2406
50804581,254037,39138,-2452
50805284,253807,39111,-2513
50805985,253942,39122,-2577
50806686,253828,38995,-2465
50807389,254075,38930,-2451
50808091,254158,39219,-2473
50808792,253926,39075,-2329
50809495,253814,39237,-2533
50810198,253984,39263,-2549
50810899,254003,39139,-2476
50811601,253999,39045,-2630
50812304,253819,39006,-2694
50813006,254004,39085,-2384
50813707,254099,39204,-2740
50814410,253889,39175,-2810
50815112,254103,39073,-2612
50815813,253752,39427,-2704
50816515,254046,39263,-2675
50817218,253984,39422,-2380
50817919,253977,39234,-2679
50818621,254138,39112,-2446
50819324,253870,39292,-2589
50820026,253954,39211,-2405
50820728,254208,39074,-2287
50821431,253811,39240,-2436
50822133,253869,39036,-2664
50822834,253932,39409,-2704
50823536,253836,39101,-2575
50824238,254016,39064,-2380
50824939,254039,39103,-2520
50825641,253923,38970,-2691
50826343,253801,39011,-2537
50827045,254151,39024,-2681
50827747,254057,38967,-2206
50828449,254118,39241,-2795
50829151,253981,39021,-2498
50829853,253861,39159,-2694
50830555,253828,39242,-2448
50831257,254010,39034,-2603
50831958,253919,39074,-2567
50832660,254039,39193,-2549
50833362,253712,39126,-2971
50834064,253976,39197,-2691
50834766,253839,39250,-2556
50835468,254120,39125,-2901
50836170,253948,39083,-2637
50836872,253865,39012,-2457
50837573,253929,39083,-2637
50838275,253768,39240,-2487
50838977,253893,38976,-2888
50839678,254067,39045,-2693
50840380,253959,39239,-2616
50841083,253883,39306,-2549
50841784,253717,38994,-2809
50842486,253812,39018,-2452
50843189,253944,39237,-2598
50843891,254223,39094,-2258
50844592,253845,39341,-2391
50845295,253944,39335,-2332
50845997,254026,39284,-2417
50846698,253958,39264,-2355
50847401,253920,39268,-2564
50848104,253938,39060,-2253
50848805,253833,39093,-2611
50849507,253896,39198,-2716
50850210,254086,39041,-2742
50850911,253856,39098,-2491
50851612,253968,39284,-2549
50852315,253959,39159,-2693
50853018,254127,39164,-2636
50853719,254128,39243,-2752
50854422,253991,39091,-2543
50855125,254070,39089,-2790
50855826,253874,39073,-2451
50856527,254008,39013,-2667
50857230,254116,39182,-2589
50857931,253885,39285,-2448
50858632,253778,39194,-2666
50859335,253882,38930,-2561
50860038,254146,39030,-2241
50860739,253891,39092,-2459
50861442,253992,39117,-2460
50862145,253972,39135,-2561
50862846,253639,39138,-2823
50863548,253934,39053,-2504
50864251,253787,39157,-2498
50864952,254022,39137,-2426
50865654,253956,39399,-2198
50866357,253884,39040,-2502
50867059,254056,39051,-2364
50867760,254081,39147,-2639
50868463,253923,39051,-2355
50869165,253859,39081,-2323
50869866,253781,39276,-2484
50870568,253983,38810,-2585
50871271,254009,39425,-2774
50871972,253790,39246,-2630
50872674,253973,39229,-2455
50873377,254013,39138,-2296
50874079,254133,39385,-2484
50874781,253985,39269,-2999
50875484,253996,39274,-2564
50876186,253995,39105,-2582
50876887,254400,39300,-2582
50877589,253910,39074,-2419
50878291,253798,39083,-2371
50878992,253782,39075,-2657
50879694,254071,39146,-2515
50880396,254154,39138,-2375
50881098,253829,39103,-2360
50881800,253958,39110,-2825
50882503,253806,39257,-2731
50883205,254025,39085,-2451
50883907,253852,38996,-2826
50884609,253983,39091,-2358
50885311,253930,39153,-2464
50886014,253923,39173,-2544
50886716,253807,39063,-2652
50887418,253863,39198,-2375
50888120,253917,39121,-2807
50888822,253783,39112,-2942
50889523,253965,38990,-2579
50890225,253899,39222,-2649
50890927,254036,39363,-2272
50891628,254170,39180,-2773
50892330,254006,39151,-2763
50893033,253870,39205,-2550
50893734,254016,39069,-2399
50894436,253929,39022,-2652
50895139,254013,39069,-2331
50895841,254093,39144,-3014
50896542,254030,39082,-2783
50897245,254378,39151,-2387
50897947,254032,39251,-2586
50898648,253856,39068,-2492
50899350,254089,39143,-2739
50900053,254003,38975,-2445
50900754,253778,39398,-2387
50901456,253802,39236,-2426
50902159,254072,38927,-2487
50902860,253916,39281,-2423
50903561,253978,39173,-2643
50904264,254017,39011,-2591
50904965,253985,39125,-2590
50905666,253997,39182,-2354
50906369,253882,39237,-2500
50907072,254181,38963,-2571
50907773,253669,39044,-2184
50908476,253883,39197,-2557
50909179,253685,38966,-2708
50909880,253942,39080,-2471
50910581,253967,39061,-2423
50911284,254115,39229,-2546
50911985,253990,39335,-2570
50912686,253940,39164,-2415
50913389,254058,39155,-2565
50914091,254108,39085,-2410
50914792,254107,39166,-2533
50915495,254246,39010,-2506
50916198,254109,39274,-2034
50916899,253886,39102,-2730
50917601,253883,39152,-2816
50918304,254032,39038,-2610
50919006,253964,38925,-2725
50919708,254212,39133,-2501
50920411,253972,39370,-2693
50921113,254075,39210,-2607
50921814,253881,39249,-2571
50922515,253577,39364,-2501
50923218,253882,39294,-2583
50923919,254055,39216,-2577
50924620,254120,39087,-2121
50925323,253941,39220,-2333
50926025,253823,39082,-2595
50926726,253926,39163,-2639
50927429,254207,39246,-2481
50928132,253900,39093,-2382
50928833,253908,39243,-2470
50929535,254164,39349,-2461
50930238,254171,39011,-2553
50930939,253991,38966,-2630
50931641,254123,39218,-2431
50932344,253945,38990,-2594
50933046,253939,39043,-2614
50933747,253765,39202,-2352
50934450,253829,39131,-2321
50935152,254075,38976,-2358
50935853,253920,39179,-2781
50936555,253895,39153,-2826
50937257,253713,39218,-2644
50937958,254133,39024,-2701
50938660,254163,39090,-2755
50939362,253792,38986,-2459
50940064,253994,39245,-2658
50940766,253801,39182,-2819
50941469,253805,39033,-2374
50942171,254010,39056,-2585
50942873,253983,39312,-2277
50943575,254037,39130,-2772
50944277,253945,39259,-2497
50944978,253833,39188,-2266
50945679,253856,39324,-2464
50946381,253894,39261,-2566
50947084,254130,39059,-2388
50947786,253811,38957,-2389
50948488,254069,39054,-2463
50949190,254018,39161,-2598
50949892,253977,39188,-2485
50950593,253948,39117,-2514
50951295,253967,39289,-2160
50951997,253864,39084,-2585
50952698,253700,39189,-2283
50953400,253915,39415,-2511
50954103,253873,39065,-2472
50954804,254117,39076,-2513
50955506,254083,39123,-2776
50956209,254063,39359,-2851
50956910,254147,39206,-2426
50957611,253958,38951,-2750
50958314,253980,39393,-2772
50959017,253757,39281,-2610
50959718,253848,39125,-2565
50960421,253940,39003,-2488
50961124,253814,38881,-2949
50961825,254166,39162,-2497
50962526,253866,39281,-2556
50963229,253864,39336,-2576
50963930,253977,39162,-2895
50964631,253974,39139,-2562
50965334,253994,38946,-2376
50966037,254160,38984,-2401
50966738,253877,39074,-2514
50967441,253851,39141,-2626
50968144,254000,39056,-2699
50968845,254100,38966,-2535
50969546,253918,39096,-2652
50970249,253854,39015,-2562
50970950,253989,39098,-2488
50971651,253925,39147,-2303
50972354,254052,39252,-2290
50973057,253977,39204,-2352
50973758,253837,39371,-2517
50974461,254023,39134,-2457
50975164,253999,39250,-2570
50975865,253928,39084,-2619
50976566,253952,39140,-2700
50977269,253828,39036,-2653
50977970,254001,39122,-2432
50978671,254085,39205,-2532
50979374,253814,39488,-2253
50980076,253810,39041,-2808
50980777,254044,39075,-2434
50981480,253824,39108,-2717
50982183,254001,39324,-2481
50982884,254054,39019,-2433
50983586,253805,39142,-2497
50984289,253715,39025,-2886
50984990,254167,39004,-2887
50985691,253730,39052,-2370
50986394,254031,39124,-2493
50987096,253715,39171,-2632
50987797,253683,38907,-2670
50988500,253913,39056,-2409
50989203,254017,38981,-2561
50989904,254049,39020,-2635
50990606,253770,39173,-2349
50991309,254040,39086,-2559
50992011,253809,39071,-2481
50992712,253915,39175,-2766
50993415,254055,39225,-2709
50994118,253712,39142,-2524
50994819,253873,39196,-2629
50995520,253937,39047,-2469
50996223,253911,39160,-2689
50996924,254044,39366,-2580
50997625,253954,39494,-2500
50998328,254088,39192,-2332
50999031,254031,39005,-2440
50999732,254037,39166,-2346
51000435,253841,39012,-2513
51001138,254063,39088,-2649
51001839,253818,39119,-2514
51002540,253954,39178,-2457
51003243,253977,39378,-2758
51003944,253839,39173,-2592
51004645,254062,39146,-2508
51005348,254035,39011,-2497
51006051,253871,38989,-2735
51006752,254182,39114,-2682
51007454,254019,39261,-2712
51008157,253974,39122,-2396
51008858,254087,38966,-2670
51009559,253951,39043,-2688
51010262,254021,39191,-2383
51010964,254080,39231,-2275
51011665,253938,39355,-2592
51012368,253908,39125,-2455
51013071,253865,39444,-2596
51013772,253775,39148,-2736
51014474,253987,39157,-2315
51015177,253942,39114,-2142
51015879,253793,39231,-2648
51016580,254176,39017,-2357
51017282,254002,39016,-2928
51017984,253911,39092,-2429
51018686,253963,39147,-2856
51019388,253973,39216,-2707
51020090,254056,39097,-2878
51020792,253558,39233,-2342
51021494,253789,39410,-2519
51022196,253976,39186,-2441
51022898,253979,39189,-2245
51023600,253818,39130,-1991
51024302,253702,39191,-2448
51025005,253975,39179,-2321
51025707,254194,39198,-2810
51026409,253942,39133,-2641
51027111,254230,39095,-2763
51027813,253691,39288,-2546
51028515,253932,38918,-2406
51029217,254031,39286,-3012
51029918,253879,39288,-2635
51030620,254054,39038,-2592
51031322,253845,39256,-2569
51032024,253831,39209,-2670
51032726,253806,39368,-2387
51033429,253894,39416,-2506
51034131,254234,39242,-2561
51034832,254111,39026,-2515
51035534,253824,39119,-2322
51036237,253863,38977,-2598
51036938,254257,39212,-2627
51037640,253858,39065,-2387
51038343,253951,39108,-2580
51039045,254153,39120,-2832
51039746,254179,39142,-2364
51040449,254001,38981,-2760
51041152,253890,39087,-2375
51041853,254081,39154,-2631
51042554,253971,39134,-2695
51043257,254014,39423,-2569
51043958,253663,39191,-2582
51044659,253901,39134,-2596
51045362,253727,39164,-2531
51046065,253808,38923,-2513
51046766,254137,39039,-2563
51047469,254070,39161,-2501
51048172,253933,39021,-2688
51048873,253883,39071,-2779
51049574,253872,38986,-2650
51050277,253917,38990,-2650
51050978,253928,39090,-2573
51051680,254085,39017,-2694
51052382,253727,39130,-2166
51053084,254023,38965,-2407
51053786,254008,39178,-2405
51054489,253848,39115,-2058
51055191,254030,39165,-2550
51055893,253859,39302,-2382
51056595,254022,39371,-2785
51057297,253827,39237,-2754
51057998,254026,39394,-2479
51058700,254086,39141,-2203
51059403,254044,39174,-2277
51060105,253792,39229,-2331
51060807,254043,39034,-2672
51061510,253813,39352,-2721
51062212,253916,39065,-2856
51062913,254086,38905,-2940
51063615,253744,39049,-2491
51064318,254146,39134,-2769
51065020,253783,38984,-2655
51065722,253775,39285,-2253
51066425,253954,38955,-2389
51067127,253902,39242,-2245
51067828,254030,39087,-2626
51068530,253861,39121,-2450
51069233,254064,39184,-2583
51069934,254060,38982,-2531
51070636,254178,38949,-2496
51071339,253622,39303,-2760
51072041,253977,39044,-2110
51072742,254016,39025,-2589
51073445,254016,39185,-2693
51074148,254008,39101,-2602
51074849,254012,39173,-2672
51075551,253933,39261,-2573
51076254,253903,39013,-2776
51076955,253711,39161,-2637
51077656,253997,39291,-2312
51078359,253694,39178,-2675
51079061,254036,39240,-2291
51079762,253962,38991,-2446
51080465,253899,38858,-2589
51081168,253915,39080,-2308
51081869,254028,39010,-2513
51082570,254026,39133,-2710
51083273,253886,39119,-2211
51083974,253970,39132,-2579
51084675,254232,39324,-2534
51085378,254039,39240,-2581
51086081,253979,39174,-2674
51086782,254156,39104,-2484
51087485,254004,39065,-2735
51088188,253942,39246,-2447
51088889,254032,38968,-2623
51089590,254092,38940,-2551
51090293,253841,39152,-2832
51090994,253991,38901,-2749
51091695,254013,39007,-2724
51092398,253798,39094,-2846
51093101,254039,39324,-2888
51093802,253757,39146,-2262
51094504,253936,39201,-2504
51095207,253834,39187,-2700
51095908,254000,39076,-2550
51096609,254130,39049,-2623
51097312,253866,38991,-2655
51098015,254202,39009,-2485
51098716,254045,38930,-2306
51099418,254211,39365,-2426
51100121,254013,39134,-2259
51100823,254091,39213,-2552
51101524,253847,39452,-2550
51102226,253757,39393,-2428
51102928,253829,39306,-2517
51103630,253780,39143,-2600
51104332,253912,39238,-2821
51105035,253803,39568,-2727
51105737,253782,39277,-2783
51106439,254000,39134,-2409
51107141,253907,39115,-2464
51107843,253847,39021,-2953
51108545,253936,39054,-2534
51109247,253928,38934,-2759
51109948,253797,39070,-2778
51110650,254249,39011,-2654
51111352,254056,39165,-2574
51112054,253932,39016,-2487
51112756,254114,39209,-2488
51113459,253994,39055,-2538
51114161,254076,39282,-2637
51114863,253806,39154,-2135
51115565,254023,39127,-2126
51116267,253788,38951,-2806
51116968,253943,38999,-2623
51117670,253924,39050,-2802
51118372,253935,39116,-2951
51119074,253924,39168,-2726
51119776,253832,39062,-2687
51120478,253994,38956,-2483
51121180,254327,39073,-2508
51121882,254091,39285,-2741
51122583,253940,39384,-2085
51123285,253883,39250,-2668
51123987,253853,38918,-2555
51124688,253810,38935,-2544
51125391,254053,39152,-2517
51126094,253827,38952,-2649
51126795,254157,39028,-2613
51127498,254076,39200,-2591
51128201,253877,39258,-2899
51128902,253908,39085,-2540
51129603,253766,39177,-2634
51130306,253957,39301,-2439
51131009,254078,39193,-2605
51131710,253952,39232,-2565
51132413,254080,39252,-2579
51133116,253984,39174,-2582
51133817,253950,39170,-2463
51134518,253904,39331,-2599
51135221,253995,39011,-2460
51135922,254138,39220,-2517
51136623,254098,39167,-2530
51137326,253779,39106,-2436
51138029,254002,38913,-2402
51138730,253888,38880,-2379
51139433,253825,39066,-2523
51140136,254063,39014,-2580
51140837,253878,39141,-2473
51141538,253986,39152,-2688
51142241,254181,39097,-2523
51142942,253861,39263,-2508
51143643,254027,39153,-2646
51144346,254065,39193,-2574
51145048,253834,39032,-2861
51145749,253782,39134,-2573
51146452,253931,38946,-2915
51147155,254126,39043,-2421
51147856,254103,39305,-2853
51148558,253927,39151,-2697
51149261,253911,39103,-2950
51149962,254024,39070,-2680
51150663,253895,39258,-2326
51151366,253867,39142,-2583
51152068,254153,39166,-2685
51152769,253823,39050,-2828
51153472,253977,39339,-2629
51154175,253976,38937,-2209
51154876,254003,38972,-2511
51155578,254065,39085,-2671
51156281,253843,39294,-2463
51156982,254053,38956,-2716
51157683,254030,39071,-2415
51158385,253933,39017,-2713
51159088,254000,39227,-2644
51159789,254230,39065,-2201
51160491,254242,39142,-2501
51161194,253707,39228,-2424
51161896,253880,39290,-2346
51162597,253960,39293,-2478
51163299,253963,39043,-2627
51164002,253865,38934,-2312
51164704,254026,38872,-2640
51165406,254183,39078,-2637
51166108,253928,39256,-2478
51166810,253922,39087,-2743
51167511,254262,39120,-2928
