89,-2698,258872
272719360,2090,-2900,258626
272720063,2220,-2842,258426
272720765,2046,-2790,258573
272721466,2037,-2555,258428
272722169,2260,-2749,258908
272722872,2242,-2686,258651
272723573,2209,-2708,258882
272724274,2289,-2760,258720
272724977,2321,-2943,258815
272725679,2199,-2862,258841
272726380,2355,-2748,258645
272727082,2026,-2713,259002
272727785,2130,-2652,258545
272728487,2169,-2897,258783
272729189,2173,-2723,258836
272729891,2135,-2863,258335
272730592,2306,-2851,258648
272731294,2180,-2734,258601
272731997,2246,-2728,258304
272732698,2181,-2823,258506
272733399,2364,-2826,258772
272734102,2142,-2527,258529
272734805,2131,-2856,258472
272735506,2184,-2748,258710
272736208,1890,-2950,258712
272736911,2360,-2762,258507
272737613,2296,-2876,258717
272738314,2300,-2819,258919
272739016,2325,-2817,258693
272739719,2114,-2531,258801
272740421,2282,-2862,258450
272741123,2264,-2735,258720
272741825,2279,-2686,258779
272742526,2376,-2803,258624
272743228,2250,-2853,258631
272743931,2212,-2817,258391
272744632,2139,-2622,258714
272745333,2139,-2707,258478
272746036,2185,-2960,258300
272746739,2230,-2765,258356
272747440,2199,-2868,258788
272748142,2036,-2687,258792
272748845,2188,-2753,258972
272749547,2421,-2804,258951
272750248,2205,-2869,258590
272750950,2315,-2761,258474
272751652,2192,-2725,258979
272752354,2076,-2943,258756
272753057,2235,-2677,258941
272753759,2075,-2687,258899
272754460,2319,-2776,258561
272755163,2315,-2755,258489
272755866,2222,-2693,258758
272756567,2400,-2776,258724
272757268,2059,-2754,258684
272757971,2179,-2762,258241
272758673,1971,-2976,258656
272759374,2399,-2981,258433
272760076,2267,-2721,258754
272760778,2196,-2711,258927
272761480,1881,-2898,258433
272762183,2160,-2900,258660
272762885,2169,-2888,258379
272763586,2368,-2725,258850
272764288,2381,-2606,258919
272764991,2382,-2668,259026
272765692,2027,-2823,259086
272766393,2389,-2823,258553
272767096,2211,-2672,258794
272767799,2134,-2789,258737
272768500,2182,-2744,258764
272769202,2222,-2820,258611
272769905,2168,-2794,258795
272770607,2058,-2717,258527
272771309,2381,-2837,258735
272772011,2294,-2928,258284
272772713,2224,-2800,258732
272773415,2360,-2644,258521
272774118,2217,-2699,258444
272774820,2379,-2624,258626
272775521,2299,-2783,258813
272776222,2263,-2800,258773
272776925,2277,-2828,258379
272777626,2100,-2833,258711
272778327,2336,-2954,258424
272779030,2345,-2749,258837
272779733,2176,-2980,258832
272780434,2102,-2840,258858
