-2344,141420,214061
316012117,-2135,140703,214125
316012819,-2358,140753,214336
316013520,-2313,140623,214187
316014223,-2685,140661,214076
316014925,-1986,140747,214228
316015626,-2316,140664,214050
316016328,-2285,140977,214393
316017031,-2420,140841,213964
316017732,-2303,140785,214331
316018434,-2382,140993,213931
316019137,-2394,141111,213967
316019838,-2544,141190,214643
316020539,-2415,141058,214532
316021242,-2104,141244,214279
316021943,-2261,141130,214041
316022644,-2248,140913,214371
316023347,-2037,141040,214350
316024050,-2276,140567,214385
316024751,-2179,141012,214245
316025454,-2103,140884,214102
316026157,-2208,140717,214210
316026858,-2200,141003,214229
316027560,-2439,140974,214213
316028263,-2446,140909,214128
316028964,-2645,141001,214142
316029666,-2628,141033,214115
316030369,-2617,141038,214277
316031071,-2463,140970,214161
316031773,-2473,140952,214365
316032476,-2265,141135,214158
316033178,-1952,140928,214065
316033880,-2513,140639,214161
316034581,-2091,141122,214233
316035283,-2200,141007,214274
316035985,-2323,140666,213899
316036687,-2002,140928,214344
316037389,-2500,140887,214073
316038091,-2523,140880,214322
316038793,-2553,140959,213711
316039495,-2450,140802,214021
316040197,-2643,140911,214369
316040899,-2559,141044,214044
316041600,-2253,140790,214140
316042302,-2484,140645,214108
316043005,-2415,141158,213849
316043706,-2208,141135,214217
316044408,-2315,140828,214184
316045111,-2148,141203,214288
316045812,-2449,140937,214081
316046513,-2052,140874,213999
316047216,-2092,141099,214068
316047917,-2397,140839,214206
316048618,-2379,140853,214270
316049321,-2332,140980,214080
316050024,-2200,140753,213888
316050725,-2563,140877,214284
316051428,-2429,140699,214032
316052131,-2478,140874,214373
316052832,-2415,140910,214047
316053533,-2457,141134,213937
316054236,-2551,140637,214093
316054937,-2036,141256,213984
316055638,-2195,141099,214043
316056341,-2212,140954,214320
316057043,-2208,140946,213998
316057744,-2179,140955,214126
316058447,-2364,140740,213795
316059149,-2367,140770,214098
316059850,-2514,140829,213810
316060552,-2359,140735,214124
316061254,-2527,140782,213839
316061955,-2542,140928,214011
316062657,-2353,141003,214347
316063359,-2256,141028,214193
316064062,-2409,140792,214200
316064764,-2252,141069,213832
316065466,-2393,140974,214135
316066168,-2134,141037,214287
316066870,-2297,140871,214304
316067571,-2288,140576,214311
316068273,-2396,140706,214295
316068975,-2540,140636,214155
316069676,-2289,140742,214264
316070379,-1995,140886,214160
316071082,-2340,140862,214236
316071783,-2294,140929,214041
316072485,-2212,140976,213954
316073188,-2577,141070,214302
316073889,-2222,141177,214156
316074590,-2511,141087,214081
